0.030516431924883403, 1.1207511737089204, 0, Point
0.06103286384976636, 1.1207023474178406, 0, x err upper
0, 1.1208, 0, x err lower
0.030516431924883403, 1.18795117370892, 0, y err upper
0.030516431924883403, 1.05355117370892, 0, y err lower
0.08920187793427292, 0.9070572769953054, 1, Point
0.11971830985915632, 0.9070084507042255, 1, x err upper
0.05633802816901401, 0.9071098591549297, 1, x err lower
0.08920187793427292, 0.9670572769953065, 1, y err upper
0.08920187793427292, 0.842257276995304, 1, y err lower
0.15023474178403795, 0.8253596244131457, 2, Point
0.18309859154929553, 0.8253070422535213, 2, x err upper
0.11737089201877904, 0.8254122065727701, 2, x err lower
0.15023474178403795, 0.8853596244131471, 2, y err upper
0.15023474178403795, 0.7605596244131445, 2, y err lower
0.2206572769953059, 0.6932469483568077, 3, Point
0.26056338028168735, 0.6931830985915495, 3, x err upper
0.17840375586854895, 0.6933145539906105, 3, x err lower
0.22065727699530635, 0.8084469483568102, 3, y err upper
0.22065727699530635, 0.5828469483568055, 3, y err lower
0.4577464788732404, 0.5704676056338029, 4, Point
0.6549295774647725, 0.5701521126760565, 4, x err upper
0.25821596244133316, 0.570786854460094, 4, x err lower
0.4577464788732404, 0.7120676056338058, 4, y err upper
0.4577464788732404, 0.4312676056338003, 4, y err lower
0.7276995305164324, 0.5148356807511738, 5, Point
0.7981220657276937, 0.5147230046948359, 5, x err upper
0.6572769953051707, 0.5149483568075119, 5, x err lower
0.7276995305164324, 0.6516356807511767, 5, y err upper
0.7276995305164324, 0.3804356807511713, 5, y err lower
1.1314553990610339, 0.44218967136150256, 6, Point
1.4014084507042024, 0.44175774647887356, 6, x err upper
0.86384976525824, 0.44261784037558716, 6, x err lower
1.131455399061033, 0.3221896713615, 6, y err upper
1.1314553990610334, 0.5597896713615049, 6, y err lower
